# Product ID to URL Mapping
# Total: 2560 products
# Format: ID|URL

16222|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-zolta-lily-16222
16233|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-granatowa-lily-16233
16234|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-grafitowa-lily-16234
16235|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-szara-lily-16235
16236|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-oliwkowa-lily-16236
16237|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-fioletowa-lily-16237
16255|https://www.meblepumo.pl/pl/products/lozko-dwuosobowe-biale-140x190-cm-naia-16255
16257|https://www.meblepumo.pl/pl/products/lozko-jednoosobowe-biale-90x190-cm-naia-16257
16294|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-biale-mat-120-cm-aspen-2-16294
16299|https://www.meblepumo.pl/pl/products/fotel-biurowy-siatka-czarny-bialy-ascot-16299
16324|https://www.meblepumo.pl/pl/products/fotel-biurowy-siatka-bialy-vire-16324
16339|https://www.meblepumo.pl/pl/products/fotel-biurowy-siatka-szary-czarny-bialy-franklin-16339
16343|https://www.meblepumo.pl/pl/products/fotel-biurowy-ekoskora-bialy-aurelius-16343
16347|https://www.meblepumo.pl/pl/products/fotel-biurowy-tapicerowany-niebieski-czarny-voyager-16347
16353|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-z-funkcja-spania-tapicerowana-miekka-brazowa-derry-16353
16423|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-z-funkcja-spania-tapicerowana-ciemnoszara-derry-16423
16431|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-czarna-nozki-wenge-16431
16432|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-fioletowa-nozki-wenge-16432
16433|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-zielona-nozki-wenge-16433
